,Unnamed: 0,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
2226,Narkatiaganj,Bagaha,VIJAY KUMAR RAM,Bahujan Samaj Party,1663,Ramnagar,1665,0.92,Rosera
2227,Bagaha,Lauriya,ASHA DEVI,Aam Adhikar Morcha,575,Narkatiaganj,578,0.32,Rosera
2228,Lauriya,Nautan,RANDHIR KUMAR PASWAN,The Plurals Party,690,Narkatiaganj,693,0.38,Rosera
2229,Nautan,Chanpatia,VIKRAM RAJAK,Loktantrik Janta Dal,810,0,810,0.45,Rosera
2230,Chanpatia,Bettiah,VIDYA NAND RAM,Wazib Adhikar Party,542,Bagaha,546,0.3,Rosera
2231,Bettiah,Sikta,SHASHI BHUSHAN DAS,Rashtriya Jan Vikas Party,1312,Narkatiaganj,1315,0.72,Rosera
2232,Sikta,Raxaul,SHAILENDRA CHAUDHARI,Independent,1646,Narkatiaganj,1649,0.91,Rosera
2233,Raxaul,Sugauli,SHRAWAN KUMAR,Independent,4186,Lauriya,4191,2.3,Rosera
2234,Sugauli,Narkatia,SURENDRA DAS,Independent,3555,Valmikinagar,3556,1.96,Rosera
2235,Narkatia,Harsidhi (S.C),NOTA,None of the Above,5282,Ramnagar,5284,2.91,Rosera
2236,0,Valmikinagar,TEJ PRATAP YADAV,Rashtriya Janata Dal,80822,Sheikhpura,80991,47.27,Hasanpur
2237,Valmikinagar,Ramnagar,MANISH KUMAR,Lok Jan Shakti Party,8785,Narkatia,8797,5.13,Hasanpur
2238,Ramnagar,Narkatiaganj,RAJ KUMAR RAY,Janata Dal (United),59783,Korha,59852,34.93,Hasanpur
2239,Narkatiaganj,Bagaha,ARJUN PRASAD YADAV,Jan Adhikar Party (Loktantrik),9864,Madhuban,9882,5.77,Hasanpur
2240,Bagaha,Lauriya,DILEEP KUMAR MUKHIYA,Aam Adhikar Morcha,940,Valmikinagar,941,0.55,Hasanpur
2241,Lauriya,Nautan,BHANU PANDIT,Rashtriya Jan Vikas Party,2225,Ramnagar,2227,1.3,Hasanpur
2242,Nautan,Chanpatia,VIRENDRA YADAV,Rashtra Sewa Dal,2593,0,2593,1.51,Hasanpur
2243,Chanpatia,Bettiah,SANJEEV KUMAR,Independent,1626,Valmikinagar,1627,0.95,Hasanpur
2244,Bettiah,Sikta,NOTA,None of the Above,4425,Valmikinagar,4426,2.58,Hasanpur
2245,0,Valmikinagar,KUMARI MANJU VARMA,Janata Dal (United),27641,Paroo,27738,18.27,Cheria Bariarpur
2246,Valmikinagar,Ramnagar,RAKHI DEVI,Lok Jan Shakti Party,25297,Hasanpur,25437,16.76,Cheria Bariarpur
2247,Ramnagar,Narkatiaganj,RAJ VANSHI MAHTO,Rashtriya Janata Dal,68020,615,68635,45.22,Cheria Bariarpur
2248,Narkatiaganj,Bagaha,RIJWANA KHATOON,Nationalist Congress Party,1105,Bagaha,1109,0.73,Cheria Bariarpur
2249,Bagaha,Lauriya,SUDARSHAN SINGH,Rashtriya Lok Samta Party,10515,Simri Bakhtiarpur,10591,6.98,Cheria Bariarpur
2250,Lauriya,Nautan,ANKUSH KUMAR YADAV,Bhartiya Party (Loktantrik),855,Valmikinagar,856,0.56,Cheria Bariarpur
2251,Nautan,Chanpatia,AMAN KUMAR,Rashtriya Jan Jan Party,1070,Ramnagar,1072,0.71,Cheria Bariarpur
2252,Chanpatia,Bettiah,BANWARI PASWAN,Bahujan Mukti Party,525,Bagaha,529,0.35,Cheria Bariarpur
2253,Bettiah,Sikta,MADHU SHWETA,The Plurals Party,644,Nautan,650,0.43,Cheria Bariarpur
2254,Sikta,Raxaul,MAHESH YADAV,Janata Dal  (Secular),554,Ramnagar,556,0.37,Cheria Bariarpur
2255,Raxaul,Sugauli,MOHAMMAD TAMANNA,Loktantrik Janta Dal,636,0,636,0.42,Cheria Bariarpur
2256,Sugauli,Narkatia,SHAMBHU KUMAR SINGH,Bhartiya Sablog Party,1229,Valmikinagar,1230,0.81,Cheria Bariarpur
2257,Narkatia,Harsidhi (S.C),RANJEET YADAV,Independent,1492,Ramnagar,1494,0.98,Cheria Bariarpur
2258,Harsidhi (S.C),Govindganj,VATSA PURUSHOTTAM,Independent,3320,Valmikinagar,3321,2.19,Cheria Bariarpur
2259,Govindganj,Kesaria,SUDAMA PASWAN,Independent,2541,0,2541,1.67,Cheria Bariarpur
2260,Kesaria,Kalyanpur,SUBODH KUMAR JHA,Independent,2870,Ramnagar,2872,1.89,Cheria Bariarpur
2261,Kalyanpur,Pipra,SUMIT KUMAR,Independent,1187,Ramnagar,1189,0.78,Cheria Bariarpur
2262,Pipra,Madhuban,NOTA,None of the Above,1332,Narkatiaganj,1335,0.88,Cheria Bariarpur
2263,0,Valmikinagar,ABDHESH KUMAR RAI,Communist Party of India,53808,446,54254,29.94,Bachhwara
2264,Valmikinagar,Ramnagar,RANJIT PASWAN,Bahujan Samaj Party,1086,Chanpatia,1093,0.6,Bachhwara
2265,Ramnagar,Narkatiaganj,SURENDRA MEHATA,Bharatiya Janata Party,54545,Barhara,54738,30.21,Bachhwara
2266,Narkatiaganj,Bagaha,AKHILESH KUMAR,Yuva Krantikari Party,4476,Valmikinagar,4477,2.47,Bachhwara
2267,Bagaha,Lauriya,ADILUR REHMAN AZAD,Janta Dal Rashtravadi,541,Ramnagar,543,0.3,Bachhwara
2268,Lauriya,Nautan,KUNDAN SINGH,Janata Party,443,Ramnagar,445,0.25,Bachhwara
2269,Nautan,Chanpatia,GAUTAM JHA,Jawan Kisan Morcha,352,Narkatiaganj,355,0.2,Bachhwara
2270,Chanpatia,Bettiah,CHANDRADEO SHARMA,Bahujan Mukti Party,352,Ramnagar,354,0.2,Bachhwara
2271,Bettiah,Sikta,MUKESH KUMAR JHA,Janshakti Vikas Party (Democratic),697,0,697,0.38,Bachhwara
2272,Sikta,Raxaul,LIPI KUMARI,Rashtriya Jan Jan Party,2342,Sursand,2368,1.31,Bachhwara
2273,Raxaul,Sugauli,SATYAJEET,The Plurals Party,490,Bagaha,494,0.27,Bachhwara
2274,Sugauli,Narkatia,AJEET KUMAR RAY,Independent,678,Valmikinagar,679,0.37,Bachhwara
2275,Narkatia,Harsidhi (S.C),INDRA KUMARI,Independent,9655,Araria,9704,5.36,Bachhwara
2276,Harsidhi (S.C),Govindganj,GAUTAM KUMAR,Independent,2271,0,2271,1.25,Bachhwara
2277,Govindganj,Kesaria,DULAR CHAND SAHANI,Independent,3126,Lauriya,3131,1.73,Bachhwara
2278,Kesaria,Kalyanpur,RAM NARESH YADAV,Independent,2972,0,2972,1.64,Bachhwara
2279,Kalyanpur,Pipra,SHIV PRAKASH GARIB DAS,Independent,39648,Gaya Town,39878,22.01,Bachhwara
2280,Pipra,Madhuban,SATYAM PRAKASH,Independent,865,Ramnagar,867,0.48,Bachhwara
2281,Madhuban,Motihari,HASSAN,Independent,922,Lauriya,927,0.51,Bachhwara
2282,Motihari,Chiraiya,NOTA,None of the Above,942,Narkatiaganj,945,0.52,Bachhwara
2283,0,Valmikinagar,BIRENDRA KUMAR,Janata Dal (United),37125,Vaishali,37250,21.77,Teghra
2284,Valmikinagar,Ramnagar,RAM RATAN SINGH,Communist Party of India,84620,609,85229,49.8,Teghra
2285,Ramnagar,Narkatiaganj,LALAN KUMAR,Lok Jan Shakti Party,29777,Amarpur,29936,17.49,Teghra
2286,Narkatiaganj,Bagaha,KEDARNATH BHASKAR,Shoshit Samaj Dal,859,Narkatiaganj,862,0.5,Teghra
2287,Bagaha,Lauriya,CHANDAN KUMAR,Rashtriya Jan Jan Party,824,Bagaha,828,0.48,Teghra
2288,Lauriya,Nautan,PUNAM DEVI,Janata Dal  (Secular),374,Valmikinagar,375,0.22,Teghra
2289,Nautan,Chanpatia,PRANAV KUMAR MISHRA,Samta Dal (Pragatisheel),812,Ramnagar,814,0.48,Teghra
2290,Chanpatia,Bettiah,RAM KRISHAN AMAN,Jai Maha Bharath Party,492,Ramnagar,494,0.29,Teghra
2291,Bettiah,Sikta,RUPAM KUMARI,The Plurals Party,649,Sikta,658,0.38,Teghra
2292,Sikta,Raxaul,VIJAY PASWAN,Loktantrik Janshakti Party,479,Narkatiaganj,482,0.28,Teghra
2293,Raxaul,Sugauli,SHRI RAM RAI,Jan Adhikar Party (Loktantrik),1580,Ramnagar,1582,0.92,Teghra
2294,Sugauli,Narkatia,ATUL KUMAR,Independent,1025,Valmikinagar,1026,0.6,Teghra
2295,Narkatia,Harsidhi (S.C),CHANDAN MAHATO,Independent,3944,Valmikinagar,3945,2.31,Teghra
2296,Harsidhi (S.C),Govindganj,SANJIV KUMAR BHARTI,Independent,3915,Narkatia,3927,2.29,Teghra
2297,Govindganj,Kesaria,NOTA,None of the Above,3714,Bagaha,3718,2.17,Teghra
2298,0,Valmikinagar,Narendra Kumar Singh @ Bogo Singh,Janata Dal (United),60623,408,61031,29.48,Matihani
2299,Valmikinagar,Ramnagar,Raj Kumar Singh,Lok Jan Shakti Party,60688,676,61364,29.64,Matihani
2300,Ramnagar,Narkatiaganj,Rajendra Prasad Singh,Communist Party of India  (Marxist),59875,724,60599,29.27,Matihani
2301,Narkatiaganj,Bagaha,Avinash Kumar,Bahujan Mukti Party,1707,Bagaha,1711,0.83,Matihani
2302,Bagaha,Lauriya,Umesh Patel,Shoshit Samaj Dal,551,Ramnagar,553,0.27,Matihani
2303,Lauriya,Nautan,Dileep Kumar Singh,Jan Adhikar Party (Loktantrik),881,Sikta,890,0.43,Matihani
2304,Nautan,Chanpatia,Prakash Kumar Urf Murari Singh,Rashtra Sewa Dal,836,Narkatiaganj,839,0.41,Matihani
2305,Chanpatia,Bettiah,Bindu Kumari,The Plurals Party,885,Bettiah,893,0.43,Matihani
2306,Bettiah,Sikta,Amresh Ray,Independent,4359,Motihari,4378,2.11,Matihani
2307,Sikta,Raxaul,Amish Kumar,Independent,811,Bagaha,815,0.39,Matihani
2308,Raxaul,Sugauli,Vimalesh Kumar Urf Botal Singh,Independent,1483,Valmikinagar,1484,0.72,Matihani
2309,Sugauli,Narkatia,Saurabh,Independent,2497,Narkatiaganj,2500,1.21,Matihani
2310,Narkatia,Harsidhi (S.C),Hemant Kumar,Independent,3258,0,3258,1.57,Matihani
2311,Harsidhi (S.C),Govindganj,NOTA,None of the Above,6718,Kesaria,6733,3.25,Matihani
2312,0,Valmikinagar,Shashikant Kumar Shashi alias Amar Kumar Singh,Janata Dal (United),50424,Warsaliganj,50663,32.36,Sahebpur Kamal
2313,Valmikinagar,Ramnagar,Satanand Sambuddha @Lalan,Rashtriya Janata Dal,64270,618,64888,41.45,Sahebpur Kamal
2314,Ramnagar,Narkatiaganj,Surendra Kumar  Alias Surendra Vivek,Lok Jan Shakti Party,22718,Gopalpur,22871,14.61,Sahebpur Kamal
2315,Narkatiaganj,Bagaha,Amit Kumar,Angika Samaj Party,819,Valmikinagar,820,0.52,Sahebpur Kamal
2316,Bagaha,Lauriya,Kaushal Kishor Singh,The Plurals Party,982,Lauriya,987,0.63,Sahebpur Kamal
2317,Lauriya,Nautan,Gore Lal Ray,All India Majlis-E-Ittehadul Muslimeen,7889,Triveniganj,7933,5.07,Sahebpur Kamal
2318,Nautan,Chanpatia,Pravin Kumar,Bahujan Mukti Party,536,Valmikinagar,537,0.34,Sahebpur Kamal
2319,Chanpatia,Bettiah,Rajesh Singh,Aam Jan Party (Secular),798,Narkatiaganj,801,0.51,Sahebpur Kamal
2320,Bettiah,Sikta,Md. Shahzaduzzama,Independent,1429,0,1429,0.91,Sahebpur Kamal
2321,Sikta,Raxaul,Shyamal Prasad Yadav,Independent,1960,Ramnagar,1962,1.25,Sahebpur Kamal
2322,Raxaul,Sugauli,NOTA,None of the Above,3664,Bettiah,3672,2.35,Sahebpur Kamal
2323,0,Valmikinagar,AMITA BHUSHAN,Indian National Congress,68439,1224,69663,37.23,Begusarai
2324,Valmikinagar,Ramnagar,KUNDAN KUMAR,Bharatiya Janata Party,73831,386,74217,39.66,Begusarai
2325,Ramnagar,Narkatiaganj,SANJU KUMARI,Rashtriya Lok Samta Party,5509,Sheohar,5531,2.96,Begusarai
2326,Narkatiaganj,Bagaha,ARJUN KUMAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),338,Ramnagar,340,0.18,Begusarai
2327,Bagaha,Lauriya,AMARJEET SAH,"Aam Janmat Party,",677,Valmikinagar,678,0.36,Begusarai
2328,Lauriya,Nautan,DEV KANT SINGH,Jai Prakash Janata Dal,1461,Lauriya,1466,0.78,Begusarai
2329,Nautan,Chanpatia,NAND KUMAR SAH,Bahujan Mukti Party,1795,Madhuban,1813,0.97,Begusarai
2330,Chanpatia,Bettiah,BHASKAR KUMAR,The Plurals Party,902,Sugauli,913,0.49,Begusarai
2331,Bettiah,Sikta,MANOJ KUMAR SINGH,Rashtriya Jan Jan Party,695,Narkatia,707,0.38,Begusarai
2332,Sikta,Raxaul,RAMASHISH  SHARMA,"Log Jan Party - Secular,",526,Govindganj,540,0.29,Begusarai
2333,Raxaul,Sugauli,VARUN KUMAR,Shoshit Samaj Dal,511,Bagaha,515,0.28,Begusarai
