,Unnamed: 0,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
1998,Nautan,Chanpatia,BINOD RAY,Janta Dal Rashtravadi,529,0,529,0.31,Mahua
1999,Chanpatia,Bettiah,BAIDYANATH PRASAD RAY,Bhartiya Rashtriya Dal,1784,0,1784,1.04,Mahua
2000,Bettiah,Sikta,RATNESH KUMAR,Right to Recall Party,303,0,303,0.18,Mahua
2001,Sikta,Raxaul,RUBI KUMARI,Samta Dal (Pragatisheel),565,0,565,0.33,Mahua
2002,Raxaul,Sugauli,REYAZ AHMAD,SOCIAL DEMOCRATIC PARTY OF INDIA,999,0,999,0.58,Mahua
2003,Sugauli,Narkatia,LALIT KUMAR GHOSH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),901,0,901,0.52,Mahua
2004,Narkatia,Harsidhi (S.C),VIKASH KUMAR SHARMA,Apna Kisan Party,1939,0,1939,1.13,Mahua
2005,Harsidhi (S.C),Govindganj,SUMAN KUMAR SINHA,Bhartiya Party (Loktantrik),2068,0,2068,1.2,Mahua
2006,Govindganj,Kesaria,AMRESH KUMAR,Independent,2103,0,2103,1.22,Mahua
2007,Kesaria,Kalyanpur,ARCHANA KUMARI JHA,Independent,2526,0,2526,1.47,Mahua
2008,Kalyanpur,Pipra,Er. NITISH KUMAR,Independent,1785,0,1785,1.04,Mahua
2009,Pipra,Madhuban,NARENDRA GIRI,Independent,1541,0,1541,0.9,Mahua
2010,Madhuban,Motihari,NAVIN KUMAR,Independent,505,0,505,0.29,Mahua
2011,Motihari,Chiraiya,PURAN THAKUR,Independent,1735,0,1735,1.01,Mahua
2012,Chiraiya,Dhaka,VINOD KUMAR,Independent,4888,0,4888,2.85,Mahua
2013,Dhaka,Sheohar,SHIV NATH SAHNI,Independent,510,0,510,0.3,Mahua
2014,Sheohar,Riga,SEEMA KUMARI,Independent,671,0,671,0.39,Mahua
2015,Riga,Bathnaha,NOTA,None of the Above,1595,0,1595,0.93,Mahua
2016,0,Valmikinagar,Dhananjay Kumar,Lok Jan Shakti Party,24556,Samastipur,24689,16.22,Rajapakar
2017,Valmikinagar,Ramnagar,Pratima Kumari,Indian National Congress,53690,609,54299,35.67,Rajapakar
2018,Ramnagar,Narkatiaganj,Pharesh Ram,Bahujan Samaj Party,2474,Bettiah,2482,1.63,Rajapakar
2019,Narkatiaganj,Bagaha,Mahendra Ram,Janata Dal (United),52193,310,52503,34.49,Rajapakar
2020,Bagaha,Lauriya,Ashok Kumar Mallik,Jan Adhikar Party (Loktantrik),1516,Ramnagar,1518,Valmikinagar,Rajapakar
2021,Lauriya,Nautan,Umesh Ram,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),405,Valmikinagar,406,0.27,Rajapakar
2022,Nautan,Chanpatia,Kanhai Pankaj,Ambedkarite Party of India,960,Ramnagar,962,0.63,Rajapakar
2023,Chanpatia,Bettiah,Er. Rajkumar Paswan,Yuva Bihar Sena,476,Narkatiaganj,479,0.31,Rajapakar
2024,Bettiah,Sikta,Ramji Bhakata,Janta Dal Rashtravadi,605,0,605,0.4,Rajapakar
2025,Sikta,Raxaul,Savita Devi,Rashtriya Jansambhavna Party,643,Valmikinagar,644,0.42,Rajapakar
2026,Raxaul,Sugauli,Amar Paswan,Independent,1470,Bagaha,1474,0.97,Rajapakar
2027,Sugauli,Narkatia,Prema Devi,Independent,2585,Bagaha,2589,1.7,Rajapakar
2028,Narkatia,Harsidhi (S.C),Bedami Devi,Independent,1769,Valmikinagar,1770,1.16,Rajapakar
2029,Harsidhi (S.C),Govindganj,Manohar Kumar,Independent,3854,Harsidhi (S.C),3867,2.54,Rajapakar
2030,Govindganj,Kesaria,NOTA,None of the Above,3918,Raxaul,3928,2.58,Rajapakar
2031,0,Valmikinagar,TEJASHWI PRASAD YADAV,Rashtriya Janata Dal,96786,618,97404,48.74,Raghopur
2032,Valmikinagar,Ramnagar,RAKESH RAUSHAN,Lok Jan Shakti Party,24850,Paroo,24947,12.48,Raghopur
2033,Ramnagar,Narkatiaganj,SATISH KUMAR,Bharatiya Janata Party,58966,264,59230,29.64,Raghopur
2034,Narkatiaganj,Bagaha,KUMAR SAMEER RAJA YADAV,Jan Adhikar Party (Loktantrik),3406,Chanpatia,3413,1.71,Raghopur
2035,Bagaha,Lauriya,JAYMALA DEVI,Shiv Sena,324,0,324,0.16,Raghopur
2036,Lauriya,Nautan,PARAMHANS SINGH URF PARAMHANS KUMAR SINGH,Aam Jan Party (Secular),Kutumba,Valmikinagar,Aurangabad,0.11,Raghopur
2037,Nautan,Chanpatia,RAJESH RAUSHAN,Bahujan Mukti Party,443,Nautan,449,0.22,Raghopur
2038,Chanpatia,Bettiah,ARUN RAY,Independent,304,Valmikinagar,305,0.15,Raghopur
2039,Bettiah,Sikta,NATHU BHAGAT,Independent,350,Valmikinagar,351,0.18,Raghopur
2040,Sikta,Raxaul,MADHUSUDHAN PASWAN,Independent,406,Valmikinagar,407,0.2,Raghopur
2041,Raxaul,Sugauli,MEGHNATH PASWAN,Independent,557,0,557,0.28,Raghopur
2042,Sugauli,Narkatia,RAJU KUMAR,Independent,1632,0,1632,0.82,Raghopur
2043,Narkatia,Harsidhi (S.C),RAJESHWAR RAY,Independent,3481,0,3481,1.74,Raghopur
2044,Harsidhi (S.C),Govindganj,Ramswaroop Ray,Independent,2672,0,2672,1.34,Raghopur
2045,Govindganj,Kesaria,NOTA,None of the Above,4453,Lauriya,4458,2.23,Raghopur
2046,0,Valmikinagar,UMESH SINGH KUSHWAHA,Janata Dal (United),53580,Arrah,53774,32.54,Mahnar
2047,Valmikinagar,Ramnagar,TRIVENI KUMAR CHOUDHARY,Rashtriya Lok Samta Party,2533,Govindganj,2547,1.54,Mahnar
2048,Ramnagar,Narkatiaganj,RABINDRA KR. SINGH,Lok Jan Shakti Party,31256,Banmankhi,31315,18.95,Mahnar
2049,Narkatiaganj,Bagaha,BINA SINGH,Rashtriya Janata Dal,61361,360,61721,37.34,Mahnar
2050,Bagaha,Lauriya,ANNPURNA SINGH,Bhartiya Sablog Party,1460,Narkatiaganj,1463,0.89,Mahnar
2051,Lauriya,Nautan,ARJUN DAS,Bahujan Mukti Party,879,Narkatiaganj,882,0.53,Mahnar
2052,Nautan,Chanpatia,BRAJESH KUMAR RAY,Janta Dal Rashtravadi,701,Ramnagar,703,0.43,Mahnar
2053,Chanpatia,Bettiah,MALAYAM KUMAR MANGLAM,Loktantrik Janta Dal,751,0,751,0.45,Mahnar
2054,Bettiah,Sikta,RAGHUPATI SINGH,Jan Adhikar Party (Loktantrik),1501,Nautan,1507,0.91,Mahnar
2055,Sikta,Raxaul,RAJNISH PASWAN,The Plurals Party,941,Bettiah,949,0.57,Mahnar
2056,Raxaul,Sugauli,SHYAM BABU SINGH,Sathi Aur Aapka Faisala Party,1960,0,1960,1.19,Mahnar
2057,Sugauli,Narkatia,HARERAM KUMAR,Janshakti Vikas Party (Democratic),1839,Valmikinagar,1840,1.11,Mahnar
2058,Narkatia,Harsidhi (S.C),KARUNA VERMA,Independent,1379,Ramnagar,1381,0.84,Mahnar
2059,Harsidhi (S.C),Govindganj,NOTA,None of the Above,4474,Chanpatia,4481,2.71,Mahnar
2060,0,Valmikinagar,DEVLAL RAM,Bahujan Samaj Party,1908,0,1908,1.15,Patepur
2061,Valmikinagar,Ramnagar,LAKHENDRA KUMAR RAUSHAN,Bharatiya Janata Party,86447,Purnia,86509,52.15,Patepur
2062,Ramnagar,Narkatiaganj,SHASHI KUMAR,Nationalist Congress Party,1760,Valmikinagar,1761,1.06,Patepur
2063,Narkatiaganj,Bagaha,SHIV CHANDRA RAM,Rashtriya Janata Dal,60489,Digha,60670,36.57,Patepur
2064,Bagaha,Lauriya,ANIL PASWAN,Jan Adhikar Party (Loktantrik),876,Ramnagar,878,0.53,Patepur
2065,Lauriya,Nautan,AWANISH,Bahujan Mukti Party,402,Ramnagar,404,0.24,Patepur
2066,Nautan,Chanpatia,DHARMENDRA PASWAN,Bharatiya Momin Front,284,0,284,0.17,Patepur
2067,Chanpatia,Bettiah,SHIVJEE RAJAK,The Plurals Party,576,0,576,0.35,Patepur
2068,Bettiah,Sikta,SONELAL PASWAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),490,0,490,0.3,Patepur
2069,Sikta,Raxaul,ANIL KUMAR,Independent,567,0,567,0.34,Patepur
2070,Raxaul,Sugauli,BINDSHWAR RAM,Independent,868,0,868,0.52,Patepur
2071,Sugauli,Narkatia,SANJAY RAJAK,Independent,2337,0,2337,1.41,Patepur
2072,Narkatia,Harsidhi (S.C),SANJAY RAM,Independent,2857,Valmikinagar,2858,1.72,Patepur
2073,Harsidhi (S.C),Govindganj,SURENDRA KUMAR PASWAN,Independent,3237,0,3237,1.95,Patepur
2074,Govindganj,Kesaria,NOTA,None of the Above,2533,0,2533,1.53,Patepur
2075,0,Valmikinagar,A MONA PRASAD SUNDESHWAR RAM,Lok Jan Shakti Party,23140,Riga,23163,12.32,Kalyanpur
2076,Valmikinagar,Ramnagar,MAMTA KUMARI,Bahujan Samaj Party,1620,Lauriya,1625,0.86,Kalyanpur
2077,Ramnagar,Narkatiaganj,MAHESHWAR HAZARI,Janata Dal (United),72237,Pipra,72279,38.46,Kalyanpur
2078,Narkatiaganj,Bagaha,Anamika,"Aam Janmat Party,",3719,Bagaha,3723,1.98,Kalyanpur
2079,Bagaha,Lauriya,UMESH DAS,Rashtriya Jan Vikas Party,4327,Ramnagar,4329,2.3,Kalyanpur
2080,Lauriya,Nautan,PRAMILA DEVI,Bhartiya Sablog Party,2019,0,2019,1.07,Kalyanpur
2081,Nautan,Chanpatia,MANTESH KUMAR,Jan Adhikar Party (Loktantrik),1959,Ramnagar,1961,1.04,Kalyanpur
2082,Chanpatia,Bettiah,RANJEET KUMAR RAM,Communist Party of India  (Marxist-Leninist)  (Liberation),61908,Amnour,62028,Khajauli,Kalyanpur
2083,Bettiah,Sikta,SHATRUDHAN PASWAN,Shiv Sena,3302,Valmikinagar,3303,1.76,Kalyanpur
2084,Sikta,Raxaul,SANJAY DAS,Yuva Krantikari Party,3875,0,3875,2.06,Kalyanpur
2085,Raxaul,Sugauli,SHIV NATH SHARAN,Independent,2732,Ramnagar,2734,1.45,Kalyanpur
2086,Sugauli,Narkatia,NOTA,None of the Above,6899,0,6899,3.67,Kalyanpur
2087,0,Valmikinagar,Ashok Kumar,Janata Dal (United),68229,Rajapakar,68356,35.97,Warisnagar
2088,Valmikinagar,Ramnagar,Urmila Sinha,Lok Jan Shakti Party,23870,Kasba,23928,12.59,Warisnagar
2089,Ramnagar,Narkatiaganj,B. K. Singh,Rashtriya Lok Samta Party,7910,Sheohar,7932,4.17,Warisnagar
2090,Narkatiaganj,Bagaha,Allama Shibli Nomani Hashmi,Janata Party,1307,0,1307,0.69,Warisnagar
2091,Bagaha,Lauriya,Upendra Sharama,Rashtriya Jan Jan Party,1371,Lauriya,1376,0.72,Warisnagar
2092,Lauriya,Nautan,Kriti King,The Plurals Party,1951,Bagaha,1955,1.03,Warisnagar
2093,Nautan,Chanpatia,Dinesh Kumar Ray,Bhartiya Lokmat Rashtrwadi Party,787,Valmikinagar,788,0.41,Warisnagar
2094,Chanpatia,Bettiah,Md. Naushad,Jan Adhikar Party (Loktantrik),3522,Lauriya,3527,1.86,Warisnagar
2095,Bettiah,Sikta,Phoolbabu Singh,Communist Party of India  (Marxist-Leninist)  (Liberation),54316,Warsaliganj,54555,28.71,Warisnagar
2096,Sikta,Raxaul,Ram Kumar Sahani,Samajwadi Janata Dal Democratic,1374,Lauriya,1379,0.73,Warisnagar
2097,Raxaul,Sugauli,Vinay Kumar,Bhartiya Sablog Party,1769,Narkatiaganj,1772,0.93,Warisnagar
2098,Sugauli,Narkatia,Archana Rani,Independent,1129,Ramnagar,1131,0.6,Warisnagar
2099,Narkatia,Harsidhi (S.C),Abhinav Raj,Independent,1505,0,1505,0.79,Warisnagar
2100,Harsidhi (S.C),Govindganj,Ashok Ray,Independent,1493,0,1493,0.79,Warisnagar
2101,Govindganj,Kesaria,Tanveer Ahmad,Independent,3044,0,3044,1.6,Warisnagar
2102,Kesaria,Kalyanpur,Dilep Roy,Independent,5463,Ramnagar,5465,2.88,Warisnagar
2103,Kalyanpur,Pipra,Ramesh Kumar Ray,Independent,3802,Narkatiaganj,3805,Ramnagar,Warisnagar
2104,Pipra,Madhuban,Ramchandra Mahto,Independent,1650,0,1650,0.87,Warisnagar
2105,Madhuban,Motihari,Ram Pukar Thakur,Independent,950,0,950,0.5,Warisnagar
2106,Motihari,Chiraiya,Suraj Kumar,Independent,1478,Ramnagar,1480,0.78,Warisnagar
2107,Chiraiya,Dhaka,NOTA,None of the Above,2628,Bagaha,2632,1.39,Warisnagar
2108,0,Valmikinagar,Akhtarul Islam Shahin,Rashtriya Janata Dal,68299,Sasaram,68507,41.21,Samastipur
2109,Valmikinagar,Ramnagar,Ashwamedh Devi,Janata Dal (United),63711,Darbhanga Rural,63793,38.37,Samastipur
2110,Ramnagar,Narkatiaganj,Mahendra Pradhan,Lok Jan Shakti Party,12064,Raxaul,12074,7.26,Samastipur
2111,Narkatiaganj,Bagaha,Sirovan Kumar,Bahujan Samaj Party,728,Ramnagar,730,0.44,Samastipur
2112,Bagaha,Lauriya,Arvind Kumar,Rashtriya Jan Vikas Party,584,Narkatiaganj,587,0.35,Samastipur
2113,Lauriya,Nautan,Rishikesh Kumar,Bhartiya Sablog Party,342,0,342,0.21,Samastipur
2114,Nautan,Chanpatia,Kanhaiya Kumar,Wazib Adhikar Party,331,0,331,0.2,Samastipur
2115,Chanpatia,Bettiah,Kundan Kumar,Shiv Sena,Bodh Gaya,Valmikinagar,Gaya Town,0.14,Samastipur
2116,Bettiah,Sikta,Premjit Kumar,Aadarsh Mithila Party,530,0,530,0.32,Samastipur
2117,Sikta,Raxaul,Ranju Devi,Yuva Krantikari Party,246,0,246,0.15,Samastipur
2118,Raxaul,Sugauli,Rajesh Kumar,Bhartiya Lokmat Rashtrwadi Party,261,0,261,0.16,Samastipur
2119,Sugauli,Narkatia,Vinay Kumar Parsad,The Plurals Party,664,Valmikinagar,665,0.4,Samastipur
2120,Narkatia,Harsidhi (S.C),Saroj Kumar Jha,"Bhartiya Garibmazdoor Party,",447,Valmikinagar,448,0.27,Samastipur
2121,Harsidhi (S.C),Govindganj,Subodh Kumar Prasad alias Subodh Prasad Sah,"Yug Kranti Dal,",1370,0,1370,0.82,Samastipur
2122,Govindganj,Kesaria,Haroon Gauhar,Janata Party,2673,0,2673,1.61,Samastipur
2123,Kesaria,Kalyanpur,Avinash Kumar,Independent,4051,Ramnagar,4053,2.44,Samastipur
2124,Kalyanpur,Pipra,Nitesh Kumar Sinha,Independent,2120,0,2120,1.28,Samastipur
2125,Pipra,Madhuban,Mahindra Ray,Independent,1368,0,1368,0.82,Samastipur
2126,Madhuban,Motihari,Mahendra Mahto,Independent,859,0,859,0.52,Samastipur
2127,Motihari,Chiraiya,Murari Kumar Singh,Independent,352,0,352,0.21,Samastipur
2128,Chiraiya,Dhaka,Ranjan Kishore Sharma,Independent,423,0,423,0.25,Samastipur
2129,Dhaka,Sheohar,Rajeev Ranjan,Independent,367,0,367,0.22,Samastipur
2130,Sheohar,Riga,Ramnath Prasad,Independent,540,0,540,0.32,Samastipur
2131,Riga,Bathnaha,Bishnudev Ram,Independent,Agiaon,Valmikinagar,Tarari,0.12,Samastipur
2132,Bathnaha,Parihar,Shiv Kishor Jha,Independent,457,0,457,0.27,Samastipur
2133,Parihar,Sursand,Shyam Nandan Prasad,Independent,881,0,881,0.53,Samastipur
2134,Sursand,Bajpatti,NOTA,None of the Above,1835,Ramnagar,1837,1.11,Samastipur
2135,0,Valmikinagar,Alok Kumar Mehta,Rashtriya Janata Dal,90232,369,90601,48.81,Ujiarpur
2136,Valmikinagar,Ramnagar,Prashant Kumar Pankaj,Rashtriya Lok Samta Party,4329,Kalyanpur,4345,2.34,Ujiarpur
2137,Ramnagar,Narkatiaganj,Sheel Kumar Roy,Bharatiya Janata Party,67222,Goriakothi,67333,36.27,Ujiarpur
2138,Narkatiaganj,Bagaha,Santosh Ray,Nationalist Congress Party,1330,Ramnagar,1332,0.72,Ujiarpur
2139,Bagaha,Lauriya,Ajay Kumar Jha,Rashtra Sewa Dal,457,Ramnagar,459,0.25,Ujiarpur
2140,Lauriya,Nautan,Md. Kalam,Jantantrik Lokhit Party,461,Valmikinagar,462,0.25,Ujiarpur
2141,Nautan,Chanpatia,Dilip Kumar Sahani,Lok Shakti Party (Loktantrik),265,0,265,0.14,Ujiarpur
2142,Chanpatia,Bettiah,Pankaj Kumar,Rashtriya Jan Vikas Party,461,0,461,0.25,Ujiarpur
2143,Bettiah,Sikta,Prashant Kumar Sonu,"Log Jan Party - Secular,",435,Narkatiaganj,438,0.24,Ujiarpur
2144,Sikta,Raxaul,Ram Kishor Mahto,Bhartiya Mahasangh Party,289,0,289,0.16,Ujiarpur
2145,Raxaul,Sugauli,Vineet Kumar,The Plurals Party,593,Nautan,599,0.32,Ujiarpur
2146,Sugauli,Narkatia,Vinod Kumar Ray,Sathi Aur Aapka Faisala Party,610,Valmikinagar,611,0.33,Ujiarpur
2147,Narkatia,Harsidhi (S.C),Baidya Nath Choudhary,Rashtriya Jan Jan Party,1826,Ramnagar,1828,0.98,Ujiarpur
2148,Harsidhi (S.C),Govindganj,Md. Afaque  Ahmad,Independent,2506,0,2506,1.35,Ujiarpur
2149,Govindganj,Kesaria,Upendra Poddar,Independent,1142,Ramnagar,1144,0.62,Ujiarpur
2150,Kesaria,Kalyanpur,Dinesh Prashad Choudhary,Independent,4575,0,4575,2.46,Ujiarpur
2151,Kalyanpur,Pipra,Nawal Paswan,Independent,4754,Lauriya,4759,2.56,Ujiarpur
2152,Pipra,Madhuban,Ram Pravesh Ray,Independent,389,Valmikinagar,390,0.21,Ujiarpur
2153,Madhuban,Motihari,Vidya Shankar Ray,Independent,1105,Valmikinagar,1106,0.6,Ujiarpur
2154,Motihari,Chiraiya,Sataya naryan Singh,Independent,1174,0,1174,0.63,Ujiarpur
2155,Chiraiya,Dhaka,NOTA,None of the Above,954,Ramnagar,956,0.51,Ujiarpur
2156,0,Valmikinagar,ABHAY KUMAR SINGH,Lok Jan Shakti Party,23854,Belsand,23884,14.86,Morwa
2157,Valmikinagar,Ramnagar,KUMAR ANANT,Rashtriya Lok Samta Party,2480,Ramnagar,2482,1.54,Morwa
2158,Ramnagar,Narkatiaganj,RANVIJAY SAHU,Rashtriya Janata Dal,59378,Nalanda,59554,37.06,Morwa
2159,Narkatiaganj,Bagaha,VIDYA SAGAR SINGH NISHAD,Janata Dal (United),48828,Kochadhaman,48883,30.42,Morwa
2160,Bagaha,Lauriya,AMAR KUMAR JHA,Janata Party,1033,Narkatiaganj,1036,0.64,Morwa
2161,Lauriya,Nautan,MD. IRSHAD,"Bhartiya Garibmazdoor Party,",391,0,391,0.24,Morwa
2162,Nautan,Chanpatia,UMASHANKAR THAKUR,The Plurals Party,1951,Bagaha,1955,1.22,Morwa
2163,Chanpatia,Bettiah,GAUTAM KUMAR,Rashtriya Jan Jan Party,890,0,890,0.55,Morwa
2164,Bettiah,Sikta,DILIP KUMAR RAY,Janata Dal  (Secular),574,0,574,0.36,Morwa
2165,Sikta,Raxaul,NAVIN SAH,Aam Adhikar Morcha,939,0,939,0.58,Morwa
2166,Raxaul,Sugauli,MANISH KUMAR,Shiv Sena,464,Ramnagar,466,0.29,Morwa
2167,Sugauli,Narkatia,RAM PRAVESH SAHNI,Rashtriya mahan Gantantra Party,946,0,946,0.59,Morwa
2168,Narkatia,Harsidhi (S.C),RAMESHWAR RAY,"Log Jan Party - Secular,",2436,Ramnagar,2438,1.52,Morwa
2169,Harsidhi (S.C),Govindganj,RASHMANI KUMAR RAY,Rashtriya Janshakti Party (Secular),2966,Valmikinagar,2967,1.85,Morwa
2170,Govindganj,Kesaria,SURYANARAYAN SAHNI,Jan Adhikar Party (Loktantrik),1792,Valmikinagar,1793,1.12,Morwa
2171,Kesaria,Kalyanpur,JAY KRISHN RAY,Independent,6371,Bettiah,6379,3.97,Morwa
2172,Kalyanpur,Pipra,PRANAV KUMAR,Independent,1581,0,1581,0.98,Morwa
2173,Pipra,Madhuban,FULENDRA THAKUR,Independent,411,0,411,0.26,Morwa
2174,Madhuban,Motihari,MANISH KUMAR MISHRA,Independent,1399,Valmikinagar,1400,0.87,Morwa
2175,Motihari,Chiraiya,NOTA,None of the Above,1747,0,1747,1.09,Morwa
2176,0,Valmikinagar,ANITA KUMARI,Rashtriya Lok Samta Party,2654,Narkatiaganj,2657,1.55,Sarairanjan
2177,Valmikinagar,Ramnagar,ARBIND KUMAR SAHNI,Rashtriya Janata Dal,68801,Jamui,69042,40.36,Sarairanjan
2178,Ramnagar,Narkatiaganj,ABHASH KUMAR JHA,Lok Jan Shakti Party,11209,Kesaria,11224,6.56,Sarairanjan
2179,Narkatiaganj,Bagaha,VIJAY KUMAR CHOUDHARY,Janata Dal (United),72523,Teghra,72666,42.48,Sarairanjan
2180,Bagaha,Lauriya,ANIL PURI,Sanyukt Kisan Vikas Party,1514,0,1514,0.89,Sarairanjan
2181,Lauriya,Nautan,AMIT KUMAR JHA,Sapaks Party,726,0,726,0.42,Sarairanjan
2182,Nautan,Chanpatia,NAVIN KUMAR,The Plurals Party,670,Ramnagar,672,0.39,Sarairanjan
2183,Chanpatia,Bettiah,PUSHPA KUMARI,Shiv Sena,876,Valmikinagar,877,0.51,Sarairanjan
2184,Bettiah,Sikta,BULBUL KUMAR SAHNI,Aam Adhikar Morcha,2885,0,2885,1.69,Sarairanjan
2185,Sikta,Raxaul,RAM KISHOR CHOUDHARY,Bhartiya Sablog Party,2297,Valmikinagar,2298,1.34,Sarairanjan
2186,Raxaul,Sugauli,NIKKI JHA,Independent,2289,0,2289,1.34,Sarairanjan
2187,Sugauli,Narkatia,NOTA,None of the Above,4199,Valmikinagar,4200,2.46,Sarairanjan
2188,0,Valmikinagar,EJYA YADAV,Rashtriya Janata Dal,55107,Tarapur,55271,37.31,Mohiuddinnagar
2189,Valmikinagar,Ramnagar,RAJESH KUMAR SINGH,Bharatiya Janata Party,70302,Darbhanga,70385,47.51,Mohiuddinnagar
2190,Ramnagar,Narkatiaganj,AJAY KUMAR BULGANIN,Jan Adhikar Party (Loktantrik),5746,Nautan,5752,3.88,Mohiuddinnagar
2191,Narkatiaganj,Bagaha,ARUN KUMAR RAY,Rashtriya Janshakti Party (Secular),307,0,307,0.21,Mohiuddinnagar
2192,Bagaha,Lauriya,USHA KIRAN,Janata Party,274,0,274,0.18,Mohiuddinnagar
2193,Lauriya,Nautan,GYANESHWAR SINGH,Yuva Krantikari Party,Barbigha,0,Barbigha,0.11,Mohiuddinnagar
2194,Nautan,Chanpatia,BHUSHAN PRASAD RAY,Janta Dal Rashtravadi,330,0,330,0.22,Mohiuddinnagar
2195,Chanpatia,Bettiah,RANDHIR BHAI,Rashtrawadi Janlok Party (Satya),489,0,489,0.33,Mohiuddinnagar
2196,Bettiah,Sikta,RAJGIR KUMAR ROY,"Bhartiya Garibmazdoor Party,",Gobindpur,0,Gobindpur,0.16,Mohiuddinnagar
2197,Sikta,Raxaul,RAM NIVAS RAY,Samajwadi Janata Dal Democratic,316,Ramnagar,318,0.21,Mohiuddinnagar
2198,Raxaul,Sugauli,RAM MOHAN RAY,Rashtriya Jan Jan Party,418,0,418,0.28,Mohiuddinnagar
2199,Sugauli,Narkatia,VIRENDRA KUMAR AJAY,Bahujan Mukti Party,956,0,956,0.65,Mohiuddinnagar
2200,Narkatia,Harsidhi (S.C),SUBODH KUMAR SINGH,Bhartiya Sablog Party,577,Valmikinagar,578,0.39,Mohiuddinnagar
2201,Harsidhi (S.C),Govindganj,ARUN KUMAR SINGH,Independent,3254,Valmikinagar,3255,2.2,Mohiuddinnagar
2202,Govindganj,Kesaria,DINAKAR PRASAD YADAV,Independent,2567,0,2567,1.73,Mohiuddinnagar
2203,Kesaria,Kalyanpur,NAGENDRA SINGH,Independent,2938,0,2938,1.98,Mohiuddinnagar
2204,Kalyanpur,Pipra,MAHENDRA RAY,Independent,1651,Valmikinagar,1652,1.12,Mohiuddinnagar
2205,Pipra,Madhuban,VISHWA NATH SAH,Independent,1100,0,1100,0.74,Mohiuddinnagar
2206,Madhuban,Motihari,SUDHIR KUMAR RAY,Independent,611,0,611,0.41,Mohiuddinnagar
2207,Motihari,Chiraiya,NOTA,None of the Above,546,0,546,0.37,Mohiuddinnagar
2208,0,Valmikinagar,Ajay Kumar,Communist Party of India  (Marxist),73580,Jhajha,73822,Chhatapur,Bibhutipur
2209,Valmikinagar,Ramnagar,CHANDRA BALI THAKUR,Lok Jan Shakti Party,28728,Darbhanga,28811,17.56,Bibhutipur
2210,Ramnagar,Narkatiaganj,MAMTA KUMARI,Bahujan Samaj Party,1888,Lauriya,1893,1.15,Bibhutipur
2211,Narkatiaganj,Bagaha,Ram Balak Singh,Janata Dal (United),33211,Baniapur,33326,20.31,Bibhutipur
2212,Bagaha,Lauriya,Arun Kumar Ray,Bhartiya Mahasangh Party,1370,Ramnagar,1372,0.84,Bibhutipur
2213,Lauriya,Nautan,Prabhu Narayan Jha,The Plurals Party,549,Narkatiaganj,552,0.34,Bibhutipur
2214,Nautan,Chanpatia,Vijay Kumar Choudhary,Rashtriya Jan Jan Party,1454,Lauriya,1459,0.89,Bibhutipur
2215,Chanpatia,Bettiah,Vivekanand Kumar,Bahujan Mukti Party,563,0,563,0.34,Bibhutipur
2216,Bettiah,Sikta,Sushant Kumar,"Log Jan Party - Secular,",503,Bagaha,507,0.31,Bibhutipur
2217,Sikta,Raxaul,Harvind Kumar,Bhartiya Sablog Party,1009,Narkatiaganj,1012,0.62,Bibhutipur
2218,Raxaul,Sugauli,Amarjit Thakur,Independent,1116,Valmikinagar,1117,0.68,Bibhutipur
2219,Sugauli,Narkatia,Navin Kumar,Independent,1963,Narkatiaganj,1966,1.2,Bibhutipur
2220,Narkatia,Harsidhi (S.C),Manju Prakash,Independent,6183,Bathnaha,6207,3.78,Bibhutipur
2221,Harsidhi (S.C),Govindganj,Bishwanath Choudhary,Independent,6104,Chanpatia,6111,3.73,Bibhutipur
2222,Govindganj,Kesaria,NOTA,None of the Above,5332,Valmikinagar,5333,3.25,Bibhutipur
2223,0,Valmikinagar,KRISHAN RAJ,Lok Jan Shakti Party,22933,Purnia,22995,12.64,Rosera
2224,Valmikinagar,Ramnagar,NAGENDRA KUMAR VIKAL,Indian National Congress,51164,255,51419,28.27,Rosera
2225,Ramnagar,Narkatiaganj,BIRENDRA KUMAR,Bharatiya Janata Party,86978,Fatuha,87163,47.93,Rosera
