,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
14,15,NIRANJAN KUMAR RAY,Independent,1566,1,1567,0.92,210
15,16,BHUPESH SINGH,Independent,1430,1,1431,0.84,210
16,17,MRITUNJAY PANDEY,Independent,1011,1,1012,0.59,210
17,18,RAJESH KUMAR RAM,Independent,1677,4,1681,0.99,210
18,19,HARENDRA SINGH,Independent,813,1,814,0.48,210
19,20,NOTA,None of the Above,1522,5,1527,0.9,210
0,1,AKHILESHWAR PRASAD SINGH,Rashtriya Lok Samta Party,10227,48,10275,6.91,211
1,2,ANITA DEVI,Rashtriya Janata Dal,64890,800,65690,44.15,211
2,3,KRISHNA KABIR,Lok Jan Shakti Party,12230,83,12313,8.28,211
3,4,NAGENDRA CHANDRAWANSI,Janata Dal (United),47678,340,48018,32.27,211
4,5,SURENDRA PANDEY,Nationalist Congress Party,573,8,581,0.39,211
5,6,ANITA YADAV,Jan Adhikar Party (Loktantrik),1172,23,1195,0.8,211
6,7,ANIRUDH KUMAR,Peoples Party of India (Democratic),507,4,511,0.34,211
7,8,KAMLESH KUMAR MISHRA,Bhartiya Sablog Party,841,2,843,0.57,211
8,9,JBBAR ANSARI,Bharatiya Momin Front,300,1,301,0.2,211
9,10,DHARMENDRA KUMAR SINGH,Rashtriya Samanta Dal,399,3,402,0.27,211
10,11,RANJAN KUMAR CHOUDHARY,Janshakti Vikas Party (Democratic),688,3,691,0.46,211
11,12,ROUSHAN CHAUDHARI,Rashtra Sewa Dal,836,2,838,0.56,211
12,13,SHASHi KANT GUPTA,Bharatiya Aam Awam Party,1519,2,1521,1.02,211
13,14,ARTI DEVI,Independent,2140,24,2164,1.45,211
14,15,SYAD SHER JAHAN,Independent,1644,2,1646,1.11,211
15,16,NOTA,None of the Above,1786,12,1798,1.21,211
0,1,PHATE BAHADUR SINGH,Rashtriya Janata Dal,63802,765,64567,41.57,212
1,2,SATYANARAYAN SINGH,Bharatiya Janata Party,63721,382,64103,41.27,212
2,3,SONA DEVI,Bahujan Samaj Party,5980,47,6027,3.88,212
3,4,PRADEEP KUMAR JOSHI,Rashtra Sewa Dal,9004,66,9070,5.84,212
4,5,RANJEET KUMAR PATEL,Prabal Bharat Party,269,0,269,0.17,212
5,6,RAMENDRA KUMAR,Jawan Kisan Morcha,244,1,245,0.16,212
6,7,SAMEER KUMAR,Jan Adhikar Party (Loktantrik),628,5,633,0.41,212
7,8,UMA SHANKAR TIWARI,Independent,424,4,428,0.28,212
8,9,OM PRAKASH SINGH,Independent,456,2,458,0.29,212
9,10,GOPAL KRISHNA RAI,Independent,471,1,472,0.3,212
10,11,DINESH SHARMA,Independent,629,4,633,0.41,212
11,12,PREM PRAKASH,Independent,977,6,983,0.63,212
12,13,RAJIV RANJAN KUMAR,Independent,3677,29,3706,2.39,212
13,14,SHIV GANDHI,Independent,1585,3,1588,1.02,212
14,15,NOTA,None of the Above,2134,11,2145,1.38,212
0,1,MALTI SINGH,Rashtriya Lok Samta Party,4865,36,4901,2.86,213
1,2,RAJESHWAR RAJ,Bharatiya Janata Party,63989,522,64511,37.59,213
2,3,AMIT KUMAR SINGH,Rashtrawadi Janlok Party (Satya),5609,36,5645,3.29,213
3,4,ARUN SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),81808,892,82700,48.19,213
4,5,UMESH KUMAR,Jan Adhikar Party (Loktantrik),1342,5,1347,0.78,213
5,6,LAL BAHADUR YADAV,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),358,3,361,0.21,213
6,7,Ashok Kumar Singh,Independent,1991,9,2000,1.17,213
7,8,DHARMENDRA KUMAR RAM,Independent,492,7,499,0.29,213
8,9,Baban Singh,Independent,405,2,407,0.24,213
9,10,BINAY KUMAR,Independent,593,0,593,0.35,213
10,11,Bansidhar Singh,Independent,2161,1,2162,1.26,213
11,12,Sweta Singh,Independent,958,5,963,0.56,213
12,13,HARE RAM SINGH,Independent,2527,1,2528,1.47,213
13,14,NOTA,None of the Above,3003,7,3010,1.75,213
0,1,Dipak Kumar Sharma,Bharatiya Janata Party,47873,463,48336,33.4,214
1,2,Subhash Chandra Yadav,Rashtriya Lok Samta Party,7867,74,7941,5.49,214
2,3,Anil Kumar Pandit,Rashtra Sewa Dal,909,2,911,0.63,214
3,4,Aunrag Kumar,Peoples Party of India (Democratic),488,12,500,0.35,214
4,5,Abhishek Ranjan,Jan Adhikar Party (Loktantrik),1291,18,1309,0.9,214
