,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
0,1,Md. Kalimuddin,Lok Jan Shakti Party,2480,10,2490,1.29,53
1,2,Md. Naushad Alam,Janata Dal (United),21921,161,22082,11.46,53
2,3,Saud Alam,Rashtriya Janata Dal,79354,555,79909,41.48,53
3,4,Devbret Kumar Ganesh,Jan Adhikar Party (Loktantrik),2474,5,2479,1.29,53
4,5,Navin Kumar Mallah,Shiv Sena,1634,2,1636,0.85,53
5,6,Mahbub Alam,All India Majlis-E-Ittehadul Muslimeen,18890,35,18925,9.82,53
6,7,Shahanavaj,Rashtriya Secular Majlis Party,1919,0,1919,1,53
7,8,Gopal Kumar Agarwal,Independent,55845,177,56022,29.08,53
8,9,Shakir Alam,Independent,2700,1,2701,1.4,53
9,10,MD. Safir Alam,Independent,1489,0,1489,0.77,53
10,11,NOTA,None of the Above,2975,1,2976,1.54,53
0,1,IJAHARUL HUSAIN,Indian National Congress,60599,479,61078,34.2,54
1,2,Sweety Singh,Bharatiya Janata Party,59378,319,59697,33.42,54
2,3,ANIL SINGH,Bhartiya Party (Loktantrik),1372,0,1372,0.77,54
3,4,MD. QAMRUL HODA,All India Majlis-E-Ittehadul Muslimeen,41727,177,41904,23.46,54
4,5,TAJAMUDDIN,Bharat Jago Janta Party,461,0,461,0.26,54
5,6,PERWEZ ALAM,Rashtriya Ulama Council,461,0,461,0.26,54
6,7,FIROZ ALAM,All India Forward Bloc,477,2,479,0.27,54
7,8,Maksood Alam,Vikassheel Insaan Party,269,0,269,0.15,54
8,9,MOHAMMAD ZAHID ALAM,Loktantrik Janta Dal,425,2,427,0.24,54
9,10,MOHAMMAD MEHBOOBUR RAHMAN,SOCIAL DEMOCRATIC PARTY OF INDIA,419,1,420,0.24,54
10,11,Shambhu Kumar Yadav,Rashtriya Unnati Party,402,2,404,0.23,54
11,12,Shivnath Malik,Shiv Sena,624,1,625,0.35,54
12,13,Abdul Ghafoor,Independent,977,1,978,0.55,54
13,14,IJEKAL HASADA,Independent,993,0,993,0.56,54
14,15,CHHOTE LAL MAHTO,Independent,997,1,998,0.56,54
15,16,TAILA KISHKU,Independent,1552,0,1552,0.87,54
16,17,TASIR UDDIN,Independent,2066,3,2069,1.16,54
17,18,Mohan Singh,Independent,1418,1,1419,0.79,54
18,19,RAMNATH SHARMA,Independent,1258,2,1260,0.71,54
19,20,SHILPI KUMARI,Independent,706,1,707,0.4,54
20,21,NOTA,None of the Above,1034,3,1037,0.58,54
0,1,MUJAHID ALAM,Janata Dal (United),43476,274,43750,27.08,55
1,2,MOHAMMAD SHAHID ALAM,Rashtriya Janata Dal,25740,394,26134,16.18,55
2,3,HABIBUR RAHMAN,Lok Jan Shakti Party,1606,0,1606,0.99,55
3,4,MUHAMMED IZHAR ASFI,All India Majlis-E-Ittehadul Muslimeen,79548,345,79893,49.45,55
4,5,RAVI KUMAR ROY,Hindu Samaj Party,826,0,826,0.51,55
5,6,SABIR ALAM,Jan Adhikar Party (Loktantrik),650,2,652,0.4,55
6,7,AMAR PASWAN,Independent,396,1,397,0.25,55
7,8,AVADH DAS,Independent,381,1,382,0.24,55
8,9,JUNAS MARANDI,Independent,801,0,801,0.5,55
9,10,DAYANAND MANDAL,Independent,1946,1,1947,1.21,55
10,11,MD. NASIK NADIR,Independent,907,2,909,0.56,55
11,12,BABLU BASKI,Independent,1318,0,1318,0.82,55
12,13,NOTA,None of the Above,2953,0,2953,1.83,55
0,1,ABDUL JALIL MASTAN,Indian National Congress,31475,388,31863,17.26,56
1,2,UPENDRA YADAV,Nationalist Congress Party,675,3,678,0.37,56
2,3,MANOJ KUMAR NISHAD,Lok Jan Shakti Party,914,5,919,0.5,56
3,4,SABA ZAFAR,Janata Dal (United),41812,132,41944,22.72,56
4,5,AKHTARUL IMAN,All India Majlis-E-Ittehadul Muslimeen,94108,351,94459,51.17,56
5,6,MD AKHTER HUSEN,Jantantrik Vikas Party,1638,0,1638,0.89,56
6,7,GULAM MOHAMMAD,Peace Party,1213,4,1217,0.66,56
7,8,JHALKESHWAR KUMAR GUPTA,Jan Adhikar Party (Loktantrik),3156,8,3164,1.71,56
8,9,MATIUR RAHMAN,Janta Dal Rashtravadi,1670,3,1673,0.91,56
9,10,ABDUL RAJJAK ALIAS KALA BABA,Independent,908,1,909,0.49,56
10,11,MD MAZHARUL BARI,Independent,1182,2,1184,0.64,56
11,12,NOTA,None of the Above,4950,8,4958,2.69,56
0,1,ABDUS SUBHAN,Rashtriya Janata Dal,37918,336,38254,21.4,57
1,2,MD FIROZ ALAM,Nationalist Congress Party,1120,1,1121,0.63,57
2,3,VINOD KUMAR,Bharatiya Janata Party,51850,193,52043,29.11,57
3,4,ISRAIL AZAD,Jan Adhikar Party (Loktantrik),2399,5,2404,1.34,57
4,5,MOHAMMED NAUSHAD ALAM,All India Minorities Front,530,1,531,0.3,57
5,6,MOHAMMED SHAHNAWAZ ALAM,All India Majlis-E-Inquilab-E-Millat,1592,0,1592,0.89,57
6,7,SYED RUKNUDDIN AHMAD,All India Majlis-E-Ittehadul Muslimeen,68162,254,68416,38.27,57
7,8,HASIB,Janta Dal Rashtravadi,1592,3,1595,0.89,57
8,9,GHULAM SARWAR,Independent,5055,20,5075,2.84,57
9,10,NAVAL KISHOR BISHWAS,Independent,1116,1,1117,0.62,57
10,11,MD RASHID RAZA,Independent,2622,4,2626,1.47,57
11,12,SARVESH KUMAR,Independent,970,1,971,0.54,57
12,13,NOTA,None of the Above,3037,5,3042,1.7,57
0,1,MD. AFAQUE ALAM,Indian National Congress,77110,300,77410,41.12,58
1,2,PRADEEP KUMAR DAS,Lok Jan Shakti Party,60029,103,60132,31.94,58
2,3,KUMAR SAHEV,Satya Bahumat Party,1534,0,1534,0.81,58
3,4,PRADHAN KUMAR SINGH,Rashtriya Janshakti Party (Secular),624,0,624,0.33,58
4,5,BAMBAM SAH,Sarv Jan Party (Bharat),717,4,721,0.38,58
5,6,MANOJ MAHTO,Anti Corruption Dynamic Party,586,0,586,0.31,58
6,7,MOHAMMAD NURUL HAQUE,SOCIAL DEMOCRATIC PARTY OF INDIA,2744,2,2746,1.46,58
7,8,RAJENDRA YADAV,Hindustani Awam Morcha (Secular),23658,58,23716,12.6,58
8,9,SHAKTI NATH YADAV,Right to Recall Party,1167,1,1168,0.62,58
9,10,MD SHAHBAZ ALAM,All India Majlis-E-Ittehadul Muslimeen,5302,14,5316,2.82,58
10,11,SANTOSH KUMAR @ MANTU,Rashtravadi Janata Party,692,0,692,0.37,58
11,12,HAYAT ASHRAF,The Plurals Party,1580,1,1581,0.84,58
12,13,MD ITTEFAQUE ALAM @ MUNNA BHAI,Independent,7999,10,8009,4.25,58
13,14,NOTA,None of the Above,4012,0,4012,2.13,58
0,1,Upendra Sharma,Rashtriya Janata Dal,65538,313,65851,36.41,59
1,2,Krishna Kumar Rishi,Bharatiya Janata Party,93410,184,93594,51.74,59
2,3,Umesh Rishi,Janta Dal Rashtravadi,2030,3,2033,1.12,59
3,4,Kumar Ji,Lok Shakti Party (Loktantrik),509,3,512,0.28,59
4,5,Krishna  Kumari,The Plurals Party,991,7,998,0.55,59
5,6,Dipnarayan Rishidev,Rashtra Sewa Dal,356,1,357,0.2,59
6,7,Nityanand Paswan,Samata Party,419,0,419,0.23,59
7,8,Ramsewak Rishideo,Apna Kisan Party,588,1,589,0.33,59
8,9,Sanjiv Kumar Paswan,Jan Adhikar Party (Loktantrik),3590,10,3600,1.99,59
9,10,Subhash Chandra Paswan,Shiv Sena,505,1,506,0.28,59
10,11,Gujay Rishidew,Independent,1056,0,1056,0.58,59
11,12,Chandan Bharti,Independent,2135,0,2135,1.18,59
12,13,Shyam Deo Paswan,Independent,3842,3,3845,2.13,59
13,14,NOTA,None of the Above,5384,0,5384,2.98,59
0,1,BIMA BHARTI,Janata Dal (United),64172,152,64324,34.52,60
1,2,BRAJNANDAN PODDAR,Bahujan Samaj Party,1407,5,1412,0.76,60
2,3,VIKASH CHANDRA MANDAL,Communist Party of India,41646,317,41963,22.52,60
3,4,SHANKAR SINGH,Lok Jan Shakti Party,44829,165,44994,24.15,60
4,5,USHA DEVI,Bhartiya Lokmat Rashtrwadi Party,1323,3,1326,0.71,60
5,6,MD. QUAMRUZ ZAMAN,Rashtriya Secular Majlis Party,1762,0,1762,0.95,60
6,7,DEEPAK KUMAR SHARMA,Jan Adhikar Party,3130,4,3134,1.68,60
7,8,RUBY KUMARI,Vanchit Samaj Party,880,1,881,0.47,60
8,9,VIRENDRA KUMAR,Janvadi Party(Socialist),940,2,942,0.51,60
9,10,SIKANDAR SINGH,Rashtriya Jansambhavna Party,1511,2,1513,0.81,60
10,11,ABHAY SINGH,Independent,1167,2,1169,0.63,60
11,12,KALADHAR PRASAD MANDAL,Independent,6183,14,6197,3.33,60
12,13,NILAM DEVI,Independent,4075,2,4077,2.19,60
13,14,PREMPARKASH MANDAL,Independent,5582,11,5593,3,60
14,15,MANOJ KUMAR BHARTI,Independent,2361,2,2363,1.27,60
15,16,NOTA,None of the Above,4683,3,4686,2.51,60
0,1,MD GAISUL AZAM,Nationalist Congress Party,1868,1,1869,0.93,61
1,2,DILIP KUMAR YADAV,Rashtriya Janata Dal,63057,406,63463,31.71,61
2,3,YOGENDRA KUMAR,Lok Jan Shakti Party,9415,33,9448,4.72,61
3,4,RAMESH KUMAR MEHTA,Rashtriya Lok Samta Party,3389,9,3398,1.7,61
4,5,LESHI SINGH,Janata Dal (United),96758,299,97057,48.5,61
5,6,KISHOR KUMAR YADAV,Lok Shakti Party (Loktantrik),1288,3,1291,0.65,61
6,7,CHAKRADHAR PASWAN,Peoples Party of India (Democratic),815,2,817,0.41,61
7,8,BIMAL ROY,Bhartiya Lokmat Rashtrwadi Party,577,5,582,0.29,61
8,9,BRAHCHARI VYAS NANDAN,Janta Dal Rashtravadi,2054,4,2058,1.03,61
9,10,RAM KUMAR,Anti Corruption Dynamic Party,560,0,560,0.28,61
10,11,SYED SHAH IQBAL ALAM,Janata Party,1398,0,1398,0.7,61
11,12,ASHISH ANUJ,Independent,4333,3,4336,2.17,61
12,13,DIPAK PODAR,Independent,1450,2,1452,0.73,61
13,14,BRAJESH KUMAR THAKUR,Independent,2512,3,2515,1.26,61
14,15,MANEESH KUMAR YADAV,Independent,2520,3,2523,1.26,61
15,16,BINDESHWARI SHARMA,Independent,2524,1,2525,1.26,61
16,17,SANJEET KUMAR,Independent,1447,0,1447,0.72,61
17,18,SUBHASH KUMAR RAJAK,Independent,2000,1,2001,1,61
18,19,NOTA,None of the Above,1389,3,1392,0.7,61
0,1,MD. ASLAM AZAD,Nationalist Congress Party,818,0,818,0.44,62
1,2,INDU SINHA,Indian National Congress,65171,432,65603,35.42,62
2,3,VIJAY KUMAR KHEMKA,Bharatiya Janata Party,97459,298,97757,52.78,62
3,4,BIDYANAND MEHTA,Rashtriya Lok Samta Party,1405,12,1417,0.77,62
4,5,ANISHA PRITY,The Plurals Party,610,3,613,0.33,62
5,6,ABDUL SUBHAN,Bhartiya Jantantrik Janata Dal,274,0,274,0.15,62
6,7,PRADIP KUMAR,Angika Samaj Party,288,1,289,0.16,62
7,8,MANOJ THAKUR,Bhartiya Lokmat Rashtrwadi Party,500,0,500,0.27,62
8,9,MIHIR ANAND,Janata Party,239,0,239,0.13,62
9,10,RAVINDRA KUMAR SINGH,Jantantrik Vikas Party,322,2,324,0.17,62
10,11,VIJAY ORAON,SOCIAL DEMOCRATIC PARTY OF INDIA,5482,11,5493,2.97,62
11,12,VINOD SINGH,Aam Janta Party Rashtriya,573,0,573,0.31,62
12,13,SHAIKH AKBAR ALI,Janata Dal  (Secular),718,2,720,0.39,62
13,14,SANJAY SINGH,Apna Kisan Party,1922,2,1924,1.04,62
14,15,AJAY SWARN,Independent,1074,4,1078,0.58,62
15,16,ASHOK KUMAR SINGH,Independent,1379,0,1379,0.74,62
16,17,CHANDRA BHANU KUMAR,Independent,526,1,527,0.28,62
17,18,NITYANAND CHOUDHARY,Independent,1291,0,1291,0.7,62
18,19,NEERAJ KUMAR SINHA,Independent,1740,2,1742,0.94,62
19,20,RAJESH KUMAR THAKUR,Independent,259,1,260,0.14,62
20,21,RAJESH KUMAR NIRALA,Independent,519,0,519,0.28,62
21,22,SHYAM MOHAN JHA ALIAS S. M.JHA,Independent,634,2,636,0.34,62
22,23,SUMIT SINGH,Independent,274,0,274,0.15,62
23,24,NOTA,None of the Above,946,5,951,0.51,62
0,1,Tarkishore Prasad,Bharatiya Janata Party,82105,564,82669,48.47,63
1,2,Rajesh Gurnani,Nationalist Congress Party,2166,7,2173,1.27,63
2,3,Dr. Ram Prakash Mahto,Rashtriya Janata Dal,70922,1228,72150,42.3,63
3,4,Ajay Kumar Sah,Suheldev Bharatiya Samaj Party,752,3,755,0.44,63
4,5,Kundan Kumar,Janata Party,512,3,515,0.3,63
5,6,Janardan Singh,Right to Recall Party,228,1,229,0.13,63
6,7,Md Zameed,SOCIAL DEMOCRATIC PARTY OF INDIA,956,8,964,0.57,63
7,8,Dilip Kumar Poddar,Janata Dal  (Secular),270,1,271,0.16,63
8,9,Poonam Devi,Bharat Jago Janta Party,275,3,278,0.16,63
9,10,Manisha Kumari,Peoples Party of India (Democratic),289,5,294,0.17,63
10,11,Afaque Ainul,Independent,349,3,352,0.21,63
11,12,Ashok Kumar Bhagat,Independent,383,1,384,0.23,63
12,13,Kamal Sharma,Independent,614,1,615,0.36,63
13,14,Chandan Kishore,Independent,1488,0,1488,0.87,63
14,15,Bibhaker Jha Alies Victor Jha,Independent,1177,15,1192,0.7,63
15,16,Mohammad Kalamuddin  Ansari Alies Kalam,Independent,2531,2,2533,1.49,63
16,17,Sanjay Singh,Independent,1492,1,1493,0.88,63
17,18,Satyanarayan Agrawal,Independent,319,1,320,0.19,63
18,19,Samir Kumar Jha,Independent,1091,1,1092,0.64,63
19,20,NOTA,None of the Above,772,15,787,0.46,63
0,1,UMA KANT ANAND,Rashtriya Lok Samta Party,1897,3,1900,1.12,64
1,2,CHANDRA BHUSHAN THAKUR,Lok Jan Shakti Party,38598,267,38865,22.9,64
2,3,NIZAM,Nationalist Congress Party,1631,7,1638,0.97,64
3,4,SHAKEEL AHMAD KHAN,Indian National Congress,70517,750,71267,42,64
4,5,SURAJ PRAKASH ROY,Janata Dal (United),31581,198,31779,18.73,64
5,6,ANMOL KUMAR,Voters Party  International,766,0,766,0.45,64
6,7,NIRANJAN KUMAR JHA,Janta Dal Rashtravadi,952,0,952,0.56,64
7,8,NUSARAT PRAVIN,Peoples Party of India (Democratic),833,15,848,0.5,64
8,9,PRAMOD DAS,Aam Janta Party Rashtriya,676,1,677,0.4,64
9,10,MANISH KUMAR MANDAL,The Plurals Party,967,3,970,0.57,64
10,11,MD RAZAUL HAQUE,Jan Adhikar Party (Loktantrik),1318,4,1322,0.78,64
11,12,BINOD KUMAR SINGH,Rashtriya Jansangharsh Swaraj Party,1113,1,1114,0.66,64
12,13,MD ANWAR ALAM,Independent,1600,1,1601,0.94,64
13,14,MANORANJAN PRASAD DAS,Independent,1716,5,1721,1.01,64
14,15,MINU KUMARI,Independent,3713,0,3713,2.19,64
15,16,RANJEET PRASAD DAS,Independent,2284,0,2284,1.35,64
16,17,SAJAN KUMAR,Independent,1681,13,1694,1,64
17,18,HIMRAJ SINGH,Independent,5099,65,5164,3.04,64
18,19,NOTA,None of the Above,1404,1,1405,0.83,64
0,1,KHAWAJA BAHAUDDIN AHMED,Nationalist Congress Party,3435,8,3443,1.68,65
1,2,SANGITA DEVI,Lok Jan Shakti Party,8853,96,8949,4.38,65
2,3,AZAD KHAN,Rashtriya Jankranti Party,4745,2,4747,2.32,65
3,4,MD. NOOR ALAM,Peace Party,826,0,826,0.4,65
4,5,MD. FAKHRUDDIN,Janata Dal  (Secular),1160,0,1160,0.57,65
5,6,BARUN KUMAR JHA,Vikassheel Insaan Party,50668,224,50892,24.89,65
6,7,MAHBOOB ALAM,Communist Party of India  (Marxist-Leninist)  (Liberation),103746,743,104489,51.11,65
7,8,MUNOVAR HUSAIN,SOCIAL DEMOCRATIC PARTY OF INDIA,3247,7,3254,1.59,65
8,9,MD. SHAMIM AKHTAR,Peoples Party of India (Democratic),3072,0,3072,1.5,65
9,10,SAKIR ALAM,Bahujan Mukti Party,2870,2,2872,1.4,65
10,11,JAGANNATH DAS,Independent,4054,36,4090,2,65
11,12,MD. ZINNAH,Independent,7841,37,7878,3.85,65
12,13,TANWEER SHAMSI,Independent,2039,2,2041,1,65
13,14,SUNIL CHAUDHARY,Independent,1559,1,1560,0.76,65
14,15,NOTA,None of the Above,5159,7,5166,2.53,65
0,1,TAUQUIR ALAM,Indian National Congress,76326,676,77002,38.48,66
1,2,NISHA SINGH,Bharatiya Janata Party,79592,382,79974,39.97,66
2,3,ABDUS SALAM,Azad Samaj Party,1257,3,1260,0.63,66
3,4,GANGA KEWAT,Rashtriya Jansambhavna Party,609,2,611,0.31,66
4,5,DILIP KUMAR CHOUDHARY,Anti Corruption Dynamic Party,360,0,360,0.18,66
5,6,MANOJ MURMU,Bahujan Mukti Party,2645,1,2646,1.32,66
6,7,HASSAN MAHMOOD AHAMAD,All India Majlis-E-Ittehadul Muslimeen,507,1,508,0.25,66
7,8,AJAY SINGH,Independent,3396,5,3401,1.7,66
8,9,ISHRAT PARWEEN,Independent,19585,161,19746,9.87,66
9,10,KISHOR MANDAL,Independent,3565,38,3603,1.8,66
10,11,JAWED RAHI,Independent,911,1,912,0.46,66
11,12,DILIP KUMAR DIWAKAR,Independent,1006,2,1008,0.5,66
12,13,SUDARSHAN CHANDRA PAUL,Independent,5857,31,5888,2.94,66
13,14,NOTA,None of the Above,3167,1,3168,1.58,66
0,1,ANIL KUMAR ORAON,Lok Jan Shakti Party,20280,161,20441,11.28,67
1,2,MANOHAR PRASAD SINGH,Indian National Congress,82253,779,83032,45.81,67
2,3,SHAMBHU KUMAR SUMAN,Janata Dal (United),61574,249,61823,34.11,67
3,4,ARUN URAWN,Peoples Party of India (Democratic),1262,11,1273,0.7,67
4,5,GORETI MURMU,All India Majlis-E-Ittehadul Muslimeen,2458,17,2475,1.37,67
5,6,NAGENDRA CHANDRA MANDAL,Shiv Sena,687,0,687,0.38,67
6,7,FULAMANI HEMBRAM,Jharkhand Mukti Morcha,1058,1,1059,0.58,67
7,8,SHIV NARAYAN,Janata Dal  (Secular),937,2,939,0.52,67
8,9,MINAKSHI SHWETA,Independent,1663,4,1667,0.92,67
9,10,RAMESHWAR HEMBRAM,Independent,2568,0,2568,1.42,67
10,11,SHOBHA SOREN,Independent,1840,0,1840,1.02,67
11,12,NOTA,None of the Above,3454,2,3456,1.91,67
0,1,Neeraj Kumar,Rashtriya Janata Dal,70473,841,71314,39,68
1,2,Bijay Singh,Janata Dal (United),81320,432,81752,44.71,68
2,3,Bibhash Chandra Choudhary,Lok Jan Shakti Party,7804,116,7920,4.33,68
3,4,Md. Shamsad Alam,Nationalist Congress Party,1077,6,1083,0.59,68
4,5,Kavindra Kumar Paul,Bhartiya Sablog Party,1352,6,1358,0.74,68
5,6,Tanuja Khatoon,The Plurals Party,1169,3,1172,0.64,68
6,7,Nasim akhtar,SOCIAL DEMOCRATIC PARTY OF INDIA,1064,12,1076,0.59,68
7,8,Md. Parvez Alam,Loktantrik Janta Dal,1560,34,1594,0.87,68
8,9,Rakesh Kumar Raushan,All India Majlis-E-Ittehadul Muslimeen,6564,34,6598,3.61,68
9,10,Lal krishna prasad,Apna Kisan Party,464,3,467,0.26,68
10,11,Shailesh kumar singh,Peoples Party of India (Democratic),561,3,564,0.31,68
11,12,MD. Saghir Alam,Jan Adhikar Party,1046,3,1049,0.57,68
12,13,Md. Babar,Independent,1309,0,1309,0.72,68
13,14,Srikant Mandal,Independent,1942,1,1943,1.06,68
14,15,NOTA,None of the Above,3651,1,3652,2,68
0,1,KAVITA DEVI,Bharatiya Janata Party,104165,460,104625,53.31,69
1,2,PUNAM KUMARI ALIAS PUNAM PASWAN,Indian National Congress,75158,524,75682,38.56,69
2,3,MANJU DEVI,Nationalist Congress Party,1383,10,1393,0.71,69
3,4,LALIT KUMAR,Rashtriya Lok Samta Party,2138,13,2151,1.1,69
4,5,KUMAR RAVI,Peoples Party of India (Democratic),324,0,324,0.17,69
5,6,JAGDISH PRASAD,Bharat Jago Janta Party,416,2,418,0.21,69
6,7,BHOLA PASWAN,Bahujan Mukti Party,451,0,451,0.23,69
7,8,WAKIL DAS,Jan Adhikar Party (Loktantrik),3565,89,3654,1.86,69
8,9,SITA RAM DASS,Janata Dal  (Secular),629,3,632,0.32,69
9,10,ARJUN RAM,Independent,744,0,744,0.38,69
10,11,KULDIP PASWAN,Independent,953,2,955,0.49,69
11,12,JAI PRAKAS DAS,Independent,1464,3,1467,0.75,69
12,13,NOTA,None of the Above,3763,1,3764,1.92,69
0,1,MD. IFTEKHAR ALAM,Rashtriya Lok Samta Party,4595,1,4596,2.16,70
1,2,NABIN KUMAR,Rashtriya Janata Dal,73240,597,73837,34.69,70
2,3,NARENDRA NARAYAN YADAV,Janata Dal (United),102335,182,102517,48.17,70
3,4,SUNILA DEVI,Lok Jan Shakti Party,9263,24,9287,4.36,70
4,5,ABHISHEK ANAND,The Plurals Party,1182,0,1182,0.56,70
5,6,NARESH MANDAL,Rashtriya Jan Jan Party,1828,0,1828,0.86,70
6,7,PRASHANT KUMAR JHA,Lok Shakti Party (Loktantrik),1213,0,1213,0.57,70
7,8,RAJNANDAN KUMAR SINHA,Samata Party,2254,0,2254,1.06,70
8,9,SARVESHWAR PRASAD SINGH,Jan Adhikar Party (Loktantrik),8457,9,8466,3.98,70
9,10,SUDHANSHU KUMAR,Bharat Jago Janta Party,3053,1,3054,1.43,70
10,11,NOTA,None of the Above,4592,3,4595,2.16,70
0,1,NIRANJAN KUMAR MEHTA,Janata Dal (United),81109,422,81531,43.63,71
1,2,VIJAY KUMAR SINGH,Lok Jan Shakti Party,8693,71,8764,4.69,71
2,3,SUBHASHINI BUNDELA ALIAS SUBHASHINI SHARAD YADAV,Indian National Congress,61650,1170,62820,33.61,71
3,4,OM KUMAR,Bhartiya Mahasangh Party,1251,4,1255,0.67,71
4,5,KAUSHAL KUMAR,Bharatiya Jan Kranti Dal (Democratic),579,2,581,0.31,71
5,6,JAYANT YADAV,The Plurals Party,586,4,590,0.32,71
6,7,DHARMENDRA KUMAR,Janvadi Party(Socialist),1395,9,1404,0.75,71
7,8,PANKAJ KUMAR JAYSWAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1579,6,1585,0.85,71
8,9,PRABHASH KUMAR,Jan Adhikar Party (Loktantrik),5555,49,5604,3,71
9,10,PRAMOD KUMAR NIRALA,Jagrook Janta Party,623,4,627,0.34,71
10,11,MD MASUM RAJA,Bhartiya Rashtriya Dal,950,0,950,0.51,71
11,12,MOHAN KUMAR,Rashtra Sewa Dal,973,3,976,0.52,71
12,13,RAJEEV RANGAN BHARTI,Apna Kisan Party,1326,2,1328,0.71,71
13,14,VIJAY PRABHAT,Proutist Sarva Samaj,2796,6,2802,1.5,71
14,15,SHANKAR KUMAR,Lok Shakti Party (Loktantrik),1633,4,1637,0.88,71
15,16,SHAKUNTALA DEVI,Sanyukt Vikas Party,4878,5,4883,2.61,71
16,17,SUMIT KUMAR ALIAS SUMITRANANDAN SWAMI,Rashtrawadi Janlok Party (Satya),3305,4,3309,1.77,71
17,18,ANIRUDDH MEHTA,Independent,707,2,709,0.38,71
18,19,ANILA DEVI,Independent,1766,3,1769,0.95,71
19,20,ARUN KUMAR HEMBRAM,Independent,1116,5,1121,0.6,71
20,21,KAMLASHWARI DAS,Independent,468,1,469,0.25,71
21,22,SADANAND PASWAN,Independent,579,0,579,0.31,71
22,23,NOTA,None of the Above,1586,4,1590,0.85,71
0,1,AMIT KUMAR BHARTI,Lok Jan Shakti Party,5586,21,5607,2.94,72
1,2,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,85395,786,86181,45.13,72
2,3,RAMESH RISHIDEV,Janata Dal (United),80400,208,80608,42.21,72
3,4,RAMDEO RAM,Bahujan Samaj Party,1656,8,1664,0.87,72
4,5,SANJAY SADA,Nationalist Congress Party,564,2,566,0.3,72
5,6,ANIL KUMAR BANDHU,Jan Adhikar Party (Loktantrik),3824,6,3830,2.01,72
6,7,GULABCHAND DAS,Aadarsh Mithila Party,1716,1,1717,0.9,72
7,8,TRIFUL DEVI,Jai Maha Bharath Party,2133,0,2133,1.12,72
8,9,SHIVJEE RAM,"Aam Janmat Party,",2354,0,2354,1.23,72
9,10,SURENDRA SHARMA,Bhartiya Lokmat Rashtrwadi Party,2292,0,2292,1.2,72
10,11,NOTA,None of the Above,3995,3,3998,2.09,72
0,1,CHANDRA SHEKHAR,Rashtriya Janata Dal,79839,0,79839,39.24,73
1,2,NIKHIL MANDAL,Janata Dal (United),64767,0,64767,31.83,73
2,3,SAAKAR SURESH YADAV,Lok Jan Shakti Party,6326,0,6326,3.11,73
3,4,JANESHWAR SHARMA,"Log Jan Party - Secular,",818,0,818,0.4,73
4,5,GYANDEV BACHAN,Lok Shakti Party (Loktantrik),705,0,705,0.35,73
5,6,RAJESH RANJAN ALIAS PAPPU YADAV,Jan Adhikar Party (Loktantrik),26462,0,26462,13.01,73
6,7,SUNIL KUMAR SUMAN,Proutist Sarva Samaj,837,0,837,0.41,73
7,8,AMARDEEP KUMAR,Independent,1285,0,1285,0.63,73
8,9,UPENDRA KAMAT,Independent,516,0,516,0.25,73
9,10,DINESH YADAV URF FAUJI,Independent,1133,0,1133,0.56,73
10,11,MANDEV TANTI,Independent,984,0,984,0.48,73
11,12,RANBEER RANJAN,Independent,946,0,946,0.46,73
12,13,RAVINDRA KUMAR SAH,Independent,1218,0,1218,0.6,73
13,14,LALAN KUMAR,Independent,2825,0,2825,1.39,73
14,15,LALO RISHIDEV,Independent,1977,0,1977,0.97,73
15,16,VIKRAM KUMAR,Independent,4293,0,4293,2.11,73
16,17,SHASHI KUMAR,Independent,5534,0,5534,2.72,73
17,18,SURESH KUMAR,Independent,1637,0,1637,0.8,73
18,19,NOTA,None of the Above,1349,0,1349,0.66,73
0,1,KIRAN DEVI,Bahujan Samaj Party,2843,5,2848,1.69,74
1,2,TARNI RISHIDEO,Indian National Congress,53798,414,54212,32.2,74
2,3,PAWAN PASWAN,Nationalist Congress Party,1792,0,1792,1.06,74
3,4,RATNESH SADA,Janata Dal (United),67530,148,67678,40.2,74
4,5,SARITA DEVI,Lok Jan Shakti Party,13487,79,13566,8.06,74
5,6,AMIR RAM,The Plurals Party,1036,1,1037,0.62,74
6,7,UMESH PASWAN,Jantantrik Lokhit Party,881,3,884,0.53,74
7,8,PRITHVI CHANDRA SADA,Rashtriya Jansambhavna Party,759,0,759,0.45,74
8,9,PRANJAL RANJAN KUMAR URF DILKHUSH PASWAN,Jantantrik Vikas Party,705,0,705,0.42,74
9,10,MANOJ PASWAN,Jan Adhikar Party (Loktantrik),4780,10,4790,2.85,74
10,11,UPENDRA RAM,Independent,1037,0,1037,0.62,74
11,12,BHUMI PASWAN,Independent,2547,0,2547,1.51,74
12,13,MANJAY KUMAR,Independent,2774,1,2775,1.65,74
13,14,RAMESH KUMAR SHARMA,Independent,3381,1,3382,2.01,74
14,15,RAJESH RAM,Independent,4891,2,4893,2.91,74
15,16,SIKANDAR SADA,Independent,3749,1,3750,2.23,74
16,17,NOTA,None of the Above,1700,1,1701,1.01,74
0,1,Alok Ranjan,Bharatiya Janata Party,103199,339,103538,45.59,75
1,2,Lovely Anand,Rashtriya Janata Dal,83022,837,83859,36.93,75
2,3,Bidhan Chandra Jha,Nationalist Congress Party,1198,1,1199,0.53,75
